"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AMAC1","-0.08179","-0.9374","-1.465","0.1468","0.3089","-5.357"
"DCUN1D5","-0.08185","8.831","-0.864","0.3902","0.5817","-6.035"
"PDCD4","-0.0819","9.531","-0.6247","0.534","0.7095","-6.209"
"SULT1A3","-0.08202","8.999","-0.4895","0.6258","0.7851","-6.283"
"ZNF90","-0.08203","8.841","-0.3131","0.755","0.8801","-6.353"
"BCL6B","-0.08222","7.342","-0.4204","0.6753","0.822","-6.314"
"GBF1","-0.08223","10.26","-0.6163","0.5395","0.7142","-6.214"
"TRMT6","-0.08223","8.622","-0.9697","0.3352","0.5336","-5.941"
"ARV1","-0.08227","8.879","-0.7456","0.4581","0.643","-6.128"
"EIF2B4","-0.08228","9.84","-1.117","0.2674","0.4613","-5.791"
"C2orf42","-0.08232","8.232","-0.9913","0.3246","0.5241","-5.92"
"SNORA44","-0.08235","-0.8943","-1.093","0.2776","0.4734","-5.817"
"CDHR3","-0.08235","5.947","-0.3966","0.6927","0.8344","-6.324"
"TRIM31","-0.0824","-0.5483","-0.4606","0.6463","0.8015","-6.297"
"RNF103","-0.08244","10.09","-1.153","0.2523","0.4437","-5.751"
"RNMT","-0.08246","9.981","-0.8564","0.3944","0.5853","-6.041"
"SENP6","-0.08249","10.14","-0.8265","0.411","0.6008","-6.066"
"CST2","-0.08254","-0.582","-0.4572","0.6488","0.8033","-6.298"
"C17orf64","-0.08258","0.06286","-0.3037","0.7621","0.8843","-6.356"
"SIRT1","-0.08259","8.381","-0.827","0.4107","0.6004","-6.065"
"AQP3","-0.08262","5.141","-0.26","0.7955","0.9067","-6.368"
"DCAF11","-0.08272","10.52","-0.9515","0.3443","0.5399","-5.958"
"PDE4D","-0.08279","8.867","-0.4429","0.659","0.8109","-6.304"
"USP34","-0.0828","10.72","-0.6761","0.501","0.6809","-6.176"
"MRPL20","-0.0828","10.44","-0.7583","0.4505","0.6365","-6.119"
"OR2T6","-0.08286","-0.9586","-1.721","0.08913","0.2185","-4.969"
"CCDC115","-0.08287","9.77","-1.085","0.2812","0.4775","-5.825"
"RAD52","-0.0829","7.486","-0.6594","0.5116","0.6901","-6.187"
"MLLT6","-0.08291","11.13","-0.6495","0.5179","0.696","-6.194"
"IFT20","-0.08293","8.708","-0.5024","0.6168","0.7782","-6.277"
"OR14C36","-0.08298","-0.9585","-1.315","0.1925","0.3698","-5.559"
"ARL17B","-0.08301","0.9588","-0.3829","0.7028","0.8415","-6.329"
"C9orf25","-0.08301","10.59","-0.5404","0.5904","0.7563","-6.257"
"RYK","-0.08302","9.621","-0.6594","0.5116","0.6901","-6.187"
"ANP32C","-0.08304","0.6929","-0.4316","0.6672","0.817","-6.309"
"PRSS1","-0.08304","-0.9585","-1.001","0.3198","0.5192","-5.91"
"OR4F21","-0.08305","-0.9183","-1.127","0.2632","0.456","-5.781"
"ZNF341","-0.0831","6.818","-0.9591","0.3404","0.5381","-5.95"
"SNRNP35","-0.08314","8.446","-1.089","0.2797","0.4757","-5.822"
"FAM58B","-0.08322","-0.3558","-0.4614","0.6458","0.8012","-6.296"
"PECI","-0.08327","10.68","-0.5591","0.5777","0.7456","-6.247"
"RGS13","-0.08333","0.4475","-0.3126","0.7554","0.8804","-6.353"
"LOC126536","-0.08335","-0.9308","-0.8865","0.3781","0.5707","-6.016"
"NCAPD3","-0.08336","9.172","-0.6839","0.496","0.6765","-6.171"
"NUDT21","-0.08344","11.07","-0.8571","0.394","0.5849","-6.041"
"CCDC59","-0.08344","8.587","-0.6197","0.5373","0.7124","-6.212"
"PRO0611","-0.08351","-0.4494","-0.4995","0.6188","0.7799","-6.278"
"DR1","-0.08353","10.09","-0.8673","0.3884","0.5802","-6.032"
"SLC24A5","-0.08353","5.663","-0.3756","0.7082","0.8457","-6.331"
"FAM25B","-0.08355","-0.9064","-1.081","0.2832","0.4797","-5.83"
"CYP1A2","-0.08363","-0.8356","-0.7063","0.4821","0.6636","-6.156"
"MCAT","-0.08372","8.174","-0.7907","0.4315","0.62","-6.094"
"ABCC10","-0.08378","8.467","-0.6886","0.4931","0.6735","-6.168"
"NHEJ1","-0.08389","7.353","-0.8729","0.3854","0.577","-6.027"
"CCDC60","-0.0839","-0.4686","-0.5068","0.6137","0.7755","-6.275"
"GKAP1","-0.08398","7.451","-0.5514","0.5829","0.7498","-6.251"
"ZNF616","-0.084","7.135","-0.6998","0.4861","0.6669","-6.16"
"XAGE1D","-0.08409","-0.958","-1.412","0.1618","0.3303","-5.431"
"LOC401127","-0.08412","3.795","-0.4814","0.6316","0.7899","-6.287"
"STARD7","-0.08417","12.34","-1.127","0.2631","0.4558","-5.78"
"DPF2","-0.08418","10.65","-1.052","0.296","0.4943","-5.86"
"KRT34","-0.08421","-0.8162","-0.7471","0.4572","0.6423","-6.127"
"METTL3","-0.08425","9.441","-0.6694","0.5052","0.6846","-6.181"
"CACNA1H","-0.08426","7.048","-0.2646","0.792","0.9045","-6.366"
"ADNP2","-0.08427","9.381","-0.9928","0.3239","0.5235","-5.918"
"HMX3","-0.08431","-0.4207","-0.336","0.7377","0.8668","-6.345"
"VPS37B","-0.08438","10.37","-0.5558","0.5799","0.7474","-6.249"
"PPAN","-0.08438","8.693","-0.8855","0.3786","0.5713","-6.017"
"ZFC3H1","-0.08441","8.626","-0.625","0.5338","0.7093","-6.209"
"GINS3","-0.08445","7.99","-0.4673","0.6416","0.7977","-6.294"
"ZNF41","-0.08446","7.955","-1.007","0.3172","0.5167","-5.905"
"ETV5","-0.08447","10.9","-0.4094","0.6834","0.8279","-6.318"
"OR8S1","-0.08455","-0.8011","-0.8863","0.3781","0.5708","-6.016"
"TPCN2","-0.08457","8.047","-0.6402","0.5239","0.7013","-6.2"
"PHLDB1","-0.08458","11.49","-0.6992","0.4865","0.6672","-6.161"
"C2orf44","-0.08474","8.477","-0.85","0.3979","0.5885","-6.047"
"FGL1","-0.08477","2.504","-0.2319","0.8172","0.921","-6.374"
"TAOK3","-0.0848","10.4","-0.7848","0.4349","0.6234","-6.099"
"NUBPL","-0.08491","7.644","-0.9603","0.3398","0.5376","-5.949"
"FBXL19","-0.08493","8.804","-0.4544","0.6508","0.8049","-6.299"
"FAM98B","-0.08496","8.138","-0.7057","0.4825","0.664","-6.156"
"DNMT3L","-0.08497","-0.8631","-0.8031","0.4243","0.6138","-6.085"
"PPAT","-0.08502","8.631","-0.8634","0.3905","0.5819","-6.035"
"TMX2","-0.08507","11.55","-0.7626","0.448","0.6345","-6.116"
"UOX","-0.08511","2.238","-0.2789","0.781","0.8968","-6.363"
"C9orf128","-0.08522","0.2676","-0.3676","0.7142","0.8499","-6.334"
"CDAN1","-0.08523","8.431","-0.7037","0.4837","0.6649","-6.158"
"UBAC2","-0.08531","10.34","-0.899","0.3714","0.564","-6.005"
"OOEP","-0.08533","-0.5337","-0.4182","0.6769","0.8232","-6.315"
"VPS35","-0.08533","11.15","-1.301","0.1971","0.3756","-5.576"
"ALPL","-0.08537","8.186","-0.421","0.6749","0.8218","-6.314"
"MTERFD2","-0.08542","8.156","-1.069","0.2883","0.4856","-5.842"
"NDUFS5","-0.08545","11.59","-0.6671","0.5066","0.6857","-6.182"
"GRM8","-0.08555","5.562","-0.2921","0.771","0.8896","-6.359"
"FMR1","-0.08559","10.1","-0.9757","0.3322","0.531","-5.935"
"LYG2","-0.08561","-0.2657","-0.497","0.6206","0.7814","-6.279"
"BAT5","-0.08563","10.21","-1.176","0.2433","0.4324","-5.726"
"DKFZp434L192","-0.08565","-0.8908","-0.6237","0.5346","0.7101","-6.21"
"CCNB1","-0.08572","9.613","-0.3235","0.7472","0.8738","-6.349"
"COMMD8","-0.08578","8.208","-0.5619","0.5758","0.7438","-6.246"
"ACVR1","-0.08587","9.435","-0.8371","0.4051","0.5952","-6.057"
"ARFGAP1","-0.08596","10.74","-0.7651","0.4465","0.6331","-6.114"
"UBA52","-0.08597","13.07","-0.7324","0.4661","0.6498","-6.138"
"SKP2","-0.08597","7.55","-0.5645","0.574","0.7423","-6.244"
"DYNLRB1","-0.08601","11.4","-0.8964","0.3728","0.5654","-6.007"
"HSFX2","-0.08602","4.382","-0.4383","0.6623","0.8129","-6.306"
"OR13C9","-0.08603","-0.9024","-1.2","0.2337","0.4209","-5.698"
"SP4","-0.08605","8.545","-0.7398","0.4616","0.6457","-6.132"
"CDC42EP2","-0.08609","7.264","-0.5956","0.5531","0.7253","-6.227"
"PSMD4","-0.08619","11.39","-1.222","0.2254","0.411","-5.673"
"MSMB","-0.08619","-0.8791","-0.683","0.4966","0.677","-6.172"
"CRAMP1L","-0.08622","9.359","-0.5868","0.559","0.7305","-6.232"
"TPM1","-0.08638","10.52","-0.5249","0.6011","0.7653","-6.265"
"AP1G1","-0.08648","10.84","-0.9615","0.3392","0.5373","-5.948"
"MAGEA8","-0.08648","-0.5527","-0.5096","0.6117","0.7739","-6.273"
"MIOX","-0.08648","-0.4339","-0.4049","0.6867","0.83","-6.32"
"ATAD1","-0.08649","9.367","-0.524","0.6018","0.7657","-6.266"
"CD163L1","-0.08649","4.639","-0.2328","0.8165","0.9207","-6.374"
"C3orf1","-0.08649","10.35","-0.7406","0.4611","0.6453","-6.132"
"ACSBG2","-0.08653","1.125","-0.3383","0.7361","0.8654","-6.345"
"DDX18","-0.08658","10.4","-1.135","0.2597","0.4519","-5.771"
"BCAS2","-0.08659","9.885","-1.014","0.3134","0.5125","-5.897"
"WNT1","-0.08662","1.215","-0.2682","0.7893","0.9029","-6.366"
"APOLD1","-0.08665","10.16","-0.457","0.6489","0.8035","-6.298"
"MYST1","-0.08667","9.655","-0.9747","0.3327","0.5315","-5.936"
"USF1","-0.08678","10.47","-0.9254","0.3576","0.5497","-5.981"
"ZNF426","-0.08681","6.887","-0.5884","0.5579","0.7296","-6.231"
"AKR1D1","-0.08686","-0.2942","-0.4241","0.6727","0.8205","-6.312"
"ZNF134","-0.0869","8.153","-0.7085","0.4807","0.6622","-6.154"
"FCRLB","-0.08692","5.294","-0.5128","0.6096","0.7721","-6.272"
"TBC1D15","-0.08692","9.923","-0.9392","0.3505","0.5436","-5.969"
"PDCL","-0.08699","8.918","-1.071","0.2874","0.4848","-5.84"
"LOC100129935","-0.087","-0.9036","-1.193","0.2363","0.4238","-5.706"
"ZMYM4","-0.08705","10.6","-1.108","0.2714","0.466","-5.801"
"RPP25","-0.08708","6.441","-0.3804","0.7047","0.8429","-6.33"
"NSUN3","-0.08708","6.639","-1.068","0.2887","0.4861","-5.843"
"HIST2H4A","-0.0871","8.261","-0.3547","0.7238","0.857","-6.339"
"FAM83C","-0.08714","-0.078","-0.4244","0.6724","0.8204","-6.312"
"FBXL3","-0.08719","10.05","-0.861","0.3919","0.5833","-6.037"
"RNF138P1","-0.0872","3.995","-0.6276","0.532","0.7078","-6.207"
"C1orf212","-0.08726","9.654","-0.6552","0.5142","0.6928","-6.19"
"SMARCC1","-0.08734","10.52","-0.5604","0.5768","0.7447","-6.247"
"UGT1A10","-0.08734","-0.9563","-1.32","0.1908","0.3674","-5.553"
"RPL19P12","-0.08736","4.9","-0.6491","0.5182","0.6963","-6.194"
"MPHOSPH8","-0.0874","9.151","-0.6761","0.5009","0.6809","-6.176"
"OR51M1","-0.08741","-0.9268","-0.8756","0.3839","0.5755","-6.025"
"MUC20","-0.08745","6.717","-0.2971","0.7672","0.8871","-6.357"
"YIF1A","-0.08745","10.3","-0.6593","0.5116","0.6901","-6.187"
"TRIO","-0.08746","11.54","-0.4023","0.6885","0.8313","-6.321"
"POLR1B","-0.08747","9.254","-0.9403","0.3499","0.5429","-5.968"
"MAP2K1","-0.08749","10.72","-0.6711","0.5041","0.6838","-6.18"
"SR140","-0.0876","10.44","-0.8782","0.3825","0.5744","-6.023"
"ST8SIA1","-0.08764","8.967","-0.4421","0.6596","0.8112","-6.305"
"FAM166B","-0.08769","3.182","-0.2529","0.801","0.9107","-6.369"
"VTI1A","-0.08773","7.875","-0.9099","0.3656","0.558","-5.995"
"BPESC1","-0.08776","-0.9327","-1.463","0.1474","0.3096","-5.361"
"C17orf89","-0.08782","8.776","-0.6745","0.502","0.6818","-6.177"
"TSPY3","-0.08784","-0.9275","-1.183","0.2403","0.429","-5.717"
"USP15","-0.08787","9.488","-1.082","0.2826","0.4791","-5.829"
"NDUFA5","-0.08793","10.73","-0.812","0.4192","0.6092","-6.077"
"RPS6","-0.08795","13.77","-0.4719","0.6383","0.795","-6.291"
"KRTCAP3","-0.08798","2.437","-0.284","0.7772","0.8941","-6.361"
"GLYR1","-0.08799","11.09","-1.228","0.223","0.4078","-5.665"
"PGAP3","-0.088","9.112","-0.9763","0.3319","0.5309","-5.934"
"AP2A1","-0.08801","11.38","-0.7503","0.4553","0.6408","-6.125"
"SNORA67","-0.08801","1.339","-0.3287","0.7433","0.8709","-6.348"
"SMCR7","-0.08813","8.29","-0.7233","0.4717","0.655","-6.144"
"PKMYT1","-0.08821","7.317","-0.2481","0.8047","0.9134","-6.371"
"ATP6V1G3","-0.08822","-0.9559","-1.723","0.08879","0.218","-4.966"
"CCDC104","-0.08822","10.16","-0.7646","0.4468","0.6335","-6.114"
"CYLC1","-0.08823","-0.9303","-1.199","0.2341","0.4214","-5.699"
"NPEPPS","-0.08829","11.27","-1.262","0.2107","0.3929","-5.624"
"SMNDC1","-0.08833","8.97","-1.078","0.2843","0.481","-5.833"
"HADHB","-0.08839","11.46","-0.978","0.3311","0.5302","-5.933"
"FAM55D","-0.0884","-0.6918","-0.7058","0.4824","0.664","-6.156"
"ZCCHC7","-0.0884","8.391","-0.7121","0.4785","0.6606","-6.152"
"TSSK1B","-0.0884","1.98","-0.4033","0.6879","0.831","-6.321"
"MRPL50","-0.08849","8.96","-0.806","0.4227","0.6122","-6.082"
"PPP1CA","-0.0885","11.44","-0.7127","0.4782","0.6605","-6.152"
"ANXA7","-0.08851","10.7","-0.7628","0.4479","0.6344","-6.115"
"SPTAN1","-0.08853","13.17","-0.5795","0.5639","0.7338","-6.236"
"FAM175A","-0.08853","7.223","-0.6702","0.5047","0.6842","-6.18"
"DNAJC7","-0.08857","10.55","-0.9909","0.3247","0.5242","-5.92"
"ZNF460","-0.0887","5.05","-0.4727","0.6377","0.7946","-6.291"
"PFN3","-0.08873","-0.9332","-1.494","0.1391","0.2981","-5.316"
"TUBB2B","-0.08875","12.72","-0.4097","0.6831","0.8277","-6.318"
"URM1","-0.0888","10.65","-0.7943","0.4294","0.6182","-6.091"
"YWHAG","-0.08897","12.72","-0.5785","0.5646","0.7344","-6.236"
"RPS19","-0.08901","13.4","-0.4672","0.6417","0.7977","-6.294"
"RAB11A","-0.08908","11.37","-1.127","0.2629","0.4557","-5.78"
"LOC440354","-0.08916","6.837","-0.5112","0.6106","0.7729","-6.272"
"BSPH1","-0.08931","-0.9553","-1.718","0.08964","0.2193","-4.973"
"ZFP64","-0.08938","8.576","-1.114","0.2688","0.4629","-5.795"
"GPR142","-0.08943","-0.4996","-0.4211","0.6748","0.8217","-6.314"
"C16orf58","-0.08954","11.01","-1.218","0.2269","0.4124","-5.677"
"FLJ45244","-0.08959","6.293","-0.466","0.6425","0.7983","-6.294"
"DDX28","-0.08962","8.514","-0.9348","0.3527","0.5455","-5.973"
"DGKG","-0.08964","8.88","-0.3007","0.7644","0.8857","-6.356"
"DKFZp566F0947","-0.08969","1.862","-0.327","0.7445","0.8717","-6.348"
"CD19","-0.08971","0.8418","-0.2991","0.7657","0.8862","-6.357"
"SHC4","-0.08972","7.816","-0.3734","0.7098","0.847","-6.332"
"POC1B","-0.08975","9.072","-0.6899","0.4923","0.6728","-6.167"
"SNX16","-0.08978","7.493","-0.8982","0.3718","0.5645","-6.006"
"LOC728613","-0.08979","8.394","-0.5837","0.5611","0.7318","-6.233"
"ZNF660","-0.08993","5.051","-0.5478","0.5854","0.7518","-6.253"
"GDF1","-0.09","10.93","-0.3737","0.7096","0.8468","-6.332"
"FGD1","-0.09","8.998","-0.6477","0.5191","0.697","-6.195"
"KIAA0125","-0.09003","-0.06735","-0.2985","0.7661","0.8864","-6.357"
"ZNF583","-0.09005","7.283","-0.8491","0.3984","0.589","-6.047"
"ACSL3","-0.09019","11.24","-0.5482","0.5851","0.7517","-6.253"
"EFS","-0.09034","9.854","-0.4176","0.6774","0.8235","-6.315"
"HKR1","-0.09035","9.495","-0.9465","0.3468","0.5403","-5.962"
"ALG10B","-0.09043","7.978","-0.9229","0.3589","0.5508","-5.984"
"CCDC21","-0.0905","8.232","-0.6908","0.4917","0.6723","-6.167"
"DUSP11","-0.0905","8.746","-0.7949","0.4291","0.6179","-6.091"
"ALG9","-0.09052","9.307","-1.297","0.1983","0.377","-5.581"
"LSM14B","-0.09057","10.27","-0.8602","0.3923","0.5836","-6.038"
"SNHG7","-0.09061","9.158","-0.6146","0.5406","0.7152","-6.215"
"NOX5","-0.09063","0.7006","-0.2614","0.7944","0.9061","-6.367"
"DHRS11","-0.09069","7.68","-0.6426","0.5223","0.7001","-6.198"
"BREA2","-0.09075","1.92","-0.3768","0.7074","0.8451","-6.331"
"GRHL2","-0.09075","0.6691","-0.4059","0.6859","0.8296","-6.32"
"SRP9","-0.09089","12.57","-0.7345","0.4648","0.6484","-6.136"
"SURF2","-0.09093","8.298","-0.9912","0.3246","0.5241","-5.92"
"C1orf163","-0.09093","7.775","-1.005","0.3178","0.5173","-5.906"
"KIAA1529","-0.09096","6.581","-0.3842","0.7019","0.8408","-6.328"
"GPATCH3","-0.09097","8.366","-1.2","0.2338","0.4209","-5.698"
"EEF1D","-0.09102","12.05","-0.861","0.3919","0.5833","-6.037"
"C9orf23","-0.09104","8.29","-0.5661","0.573","0.7413","-6.243"
"CSRP2BP","-0.09107","9.519","-1.305","0.1956","0.374","-5.571"
"NUF2","-0.09119","7.631","-0.2443","0.8077","0.9153","-6.372"
"FKBP7","-0.09121","7.42","-0.4541","0.651","0.805","-6.299"
"WNT2B","-0.09123","4.721","-0.3503","0.7271","0.8592","-6.341"
"CMTM2","-0.09123","2.829","-0.398","0.6917","0.8335","-6.323"
"ZNF623","-0.09123","8.403","-0.817","0.4164","0.6061","-6.073"
"TM2D1","-0.09128","8.79","-0.7417","0.4605","0.6451","-6.131"
"KIF19","-0.09131","4.771","-0.1901","0.8497","0.9432","-6.383"
"ABR","-0.09131","11.92","-0.5175","0.6063","0.7695","-6.269"
"PPP1R12C","-0.09133","10.17","-0.6979","0.4873","0.6679","-6.162"
"FYTTD1","-0.09133","10.67","-1.223","0.2249","0.4104","-5.671"
"TMEM110","-0.09137","7.513","-0.8797","0.3817","0.5737","-6.022"
"SUFU","-0.0914","8.715","-0.8787","0.3822","0.5742","-6.022"
"TTTY1B","-0.09144","-0.904","-1.089","0.2796","0.4756","-5.821"
"CENPL","-0.09146","7.618","-0.5487","0.5848","0.7516","-6.253"
"DPY19L4","-0.09152","10.05","-0.8165","0.4167","0.6064","-6.074"
"NDEL1","-0.09153","9.484","-0.8429","0.4018","0.5922","-6.053"
"PEG3AS","-0.09161","-0.4269","-0.3243","0.7466","0.8732","-6.349"
"OR1N2","-0.09164","-0.9287","-1.399","0.1656","0.3347","-5.448"
"KCMF1","-0.09165","10.23","-1.414","0.1614","0.3297","-5.429"
"SNORA13","-0.09166","-0.8527","-0.903","0.3693","0.5618","-6.001"
"CNKSR3","-0.09175","7.935","-0.4742","0.6367","0.7938","-6.29"
"GDPD5","-0.09177","7.031","-0.4913","0.6246","0.7843","-6.282"
"PJA2","-0.09183","12.5","-0.7541","0.4531","0.6386","-6.122"
"PLXNC1","-0.09188","7.765","-0.318","0.7513","0.877","-6.351"
"RNF185","-0.09197","10.25","-1.026","0.3078","0.507","-5.885"
"AIG1","-0.09197","9.869","-0.6349","0.5273","0.7039","-6.203"
"RPL30","-0.09198","13.02","-0.6366","0.5262","0.7029","-6.202"
"LOC286367","-0.09202","5.095","-0.3396","0.7351","0.8647","-6.344"
"HERC4","-0.09203","8.788","-0.9875","0.3264","0.5258","-5.924"
"HNRNPC","-0.09204","13.2","-1.03","0.3063","0.5053","-5.882"
"ZNF321","-0.09206","4.543","-0.4578","0.6484","0.8031","-6.298"
"MRPS2","-0.09208","9.762","-1.132","0.2609","0.4535","-5.774"
"MAGEA11","-0.09212","-0.804","-0.6649","0.5081","0.6869","-6.184"
"TOPBP1","-0.09215","9.654","-0.8091","0.4209","0.6107","-6.08"
"CXorf40B","-0.0922","9.033","-1.123","0.2648","0.4581","-5.785"
"PLD3","-0.09222","12.4","-0.6369","0.526","0.7028","-6.202"
"GPR133","-0.09227","5.868","-0.4528","0.6519","0.8054","-6.3"
"MTMR12","-0.09228","9.154","-0.825","0.4118","0.6015","-6.067"
"TAF8","-0.09231","8.386","-1.099","0.2752","0.4705","-5.811"
"GYPB","-0.09237","-0.8451","-0.969","0.3355","0.5339","-5.941"
"OR2AE1","-0.09257","-0.1625","-0.4296","0.6686","0.8179","-6.31"
"ADCY10","-0.09261","1.162","-0.3598","0.7199","0.8545","-6.337"
"TJP1","-0.09261","11.37","-0.7614","0.4487","0.6351","-6.116"
"SPIRE1","-0.09271","10.61","-0.7877","0.4332","0.6218","-6.096"
"DUSP12","-0.09272","8.658","-1.02","0.3106","0.5099","-5.891"
"EPC2","-0.0928","9.549","-1.227","0.2236","0.4087","-5.667"
"A1CF","-0.09281","-0.8345","-1.082","0.2826","0.4791","-5.829"
"BOLA1","-0.09281","8.133","-0.659","0.5118","0.6903","-6.188"
"C17orf88","-0.09283","-0.311","-0.4307","0.6679","0.8174","-6.31"
"SLC26A11","-0.09289","9.068","-1.116","0.2677","0.4616","-5.792"
"PRCP","-0.09292","12.15","-0.4393","0.6616","0.8125","-6.306"
"ULK3","-0.09307","9.955","-0.8264","0.4111","0.6009","-6.066"
"FANCM","-0.09313","6.197","-0.6391","0.5246","0.7016","-6.2"
"CDH1","-0.09319","5.726","-0.2296","0.819","0.922","-6.375"
"TUBB1","-0.09333","5.96","-0.4465","0.6565","0.8088","-6.303"
"CRYBA1","-0.09336","-0.3695","-0.4149","0.6794","0.8248","-6.316"
"DCI","-0.09337","9.872","-0.6098","0.5437","0.7177","-6.218"
"COX7C","-0.09349","11.16","-0.7535","0.4534","0.639","-6.122"
"RAB8B","-0.0935","10.07","-0.9378","0.3512","0.5443","-5.97"
"TLK2","-0.09352","8.989","-1.397","0.1664","0.3353","-5.452"
"ZBTB3","-0.09364","6.614","-1.004","0.3183","0.5178","-5.907"
"GIF","-0.09364","-0.9065","-1.486","0.1412","0.3009","-5.328"
"SET","-0.09365","12.32","-1.067","0.2892","0.4867","-5.844"
"L3MBTL2","-0.0937","9.752","-0.9342","0.353","0.5457","-5.973"
"CASC5","-0.09375","6.339","-0.2452","0.807","0.9149","-6.371"
"CN5H6.4","-0.09376","3.719","-0.4424","0.6594","0.8112","-6.305"
"CSTT","-0.09377","-0.9531","-1.707","0.09171","0.2226","-4.992"
"NRN1","-0.09381","10.65","-0.3693","0.7129","0.8491","-6.334"
"GLYCTK","-0.09383","6.722","-0.6347","0.5275","0.704","-6.203"
"ATXN3","-0.09384","7.745","-0.8454","0.4004","0.5908","-6.05"
"TMUB2","-0.09385","10.02","-1.472","0.1451","0.3065","-5.349"
"CDK3","-0.09388","7.391","-0.4904","0.6252","0.7849","-6.283"
"PDZD8","-0.09389","8.12","-0.5757","0.5665","0.7359","-6.238"
"CSNK1G3","-0.09397","9.277","-1.318","0.1914","0.3682","-5.555"
"MAP7","-0.09399","8.208","-0.3746","0.7089","0.8462","-6.332"
"PCDH1","-0.094","10.03","-0.4716","0.6385","0.7952","-6.292"
"VPS53","-0.09405","9.885","-0.746","0.4579","0.6429","-6.128"
"LOC646498","-0.09406","-0.9303","-1.265","0.2094","0.3914","-5.62"
"BCKDHB","-0.09409","9.168","-0.8043","0.4237","0.6131","-6.084"
"VEZF1","-0.0941","10.77","-0.8757","0.3838","0.5755","-6.025"
"OR8D4","-0.09416","-0.9296","-1.498","0.138","0.2965","-5.311"
"KIAA0528","-0.09416","9.375","-0.9526","0.3437","0.5398","-5.957"
"ALDH1B1","-0.09416","8.902","-0.7161","0.476","0.6584","-6.149"
"PSMC1","-0.0942","8.958","-1.018","0.3117","0.5108","-5.893"
"OSBPL2","-0.09422","9.992","-1.104","0.2731","0.4677","-5.806"
"IL28B","-0.09429","-0.9529","-1.661","0.1006","0.2377","-5.065"
"PHKB","-0.09435","10.66","-1.011","0.3152","0.5145","-5.901"
"PAX4","-0.09439","-0.7746","-0.7229","0.4719","0.6552","-6.144"
"EZH1","-0.09439","9.816","-0.7933","0.43","0.6186","-6.092"
"FAM120B","-0.09463","9.362","-0.6796","0.4988","0.679","-6.174"
"MRPL10","-0.09469","9.976","-1.196","0.2352","0.4224","-5.702"
"ZNF432","-0.09481","7.35","-0.6176","0.5386","0.7134","-6.214"
"ZNF547","-0.09488","6.623","-0.7692","0.444","0.6309","-6.111"
"SNORA16A","-0.09488","-0.7079","-0.564","0.5744","0.7426","-6.245"
"ANKS1A","-0.09489","9.472","-0.7001","0.4859","0.6668","-6.16"
"CENPP","-0.09497","6.7","-0.6773","0.5002","0.6803","-6.176"
"RSRC1","-0.09499","8.282","-0.84","0.4034","0.5938","-6.055"
"PPY2","-0.09506","-0.9525","-1.739","0.08602","0.2132","-4.94"
"LIPA","-0.09513","11.03","-0.5101","0.6114","0.7736","-6.273"
"TIFAB","-0.09515","0.6226","-0.3072","0.7595","0.8823","-6.354"
"DNAJA1","-0.09527","11.53","-0.8366","0.4054","0.5954","-6.058"
"CLPP","-0.09528","10.26","-0.7619","0.4484","0.6348","-6.116"
"ALMS1P","-0.09531","1.605","-0.3598","0.72","0.8545","-6.337"
"EIF4EBP2","-0.09532","11.17","-1.03","0.306","0.5051","-5.881"
"C8orf56","-0.09534","5.245","-0.3053","0.7609","0.8834","-6.355"
"WBP2NL","-0.0954","1.546","-0.2603","0.7953","0.9066","-6.368"
"THAP9","-0.0954","7.252","-0.7944","0.4294","0.6182","-6.091"
"C14orf48","-0.09542","-0.7102","-0.7577","0.4509","0.6368","-6.119"
"ISCU","-0.09547","10.73","-0.8173","0.4162","0.6059","-6.073"
"VAPB","-0.09548","9.991","-1.271","0.2076","0.3892","-5.614"
"C9orf144","-0.09565","-0.7581","-0.8199","0.4147","0.6047","-6.071"
"CHAC2","-0.09566","6.338","-0.5988","0.551","0.7239","-6.225"
"PARD6G","-0.0958","6.975","-0.5976","0.5518","0.7244","-6.225"
"GEMIN8","-0.09585","8.754","-0.7808","0.4372","0.6253","-6.102"
